dataset,subject,sfreq,n_channels,theta_centroid,alpha_centroid,theta_peak,alpha_peak,theta_frontal,PCI,convergence,ratio_centroid,ratio_frontal,PCI_frontal,convergence_frontal
OpenNeuro,sub-083,1024.0,80,5.6504461481467665,10.241279943101478,4.0,10.0,,-0.02375369711860398,0.2178253547534201,1.8124727985347517,,,
OpenNeuro,sub-083,1024.0,80,5.624780717085449,10.415000159714058,4.0,10.25,,-0.2949954266997781,0.20875870343243713,1.8516277671195547,,,
OpenNeuro,sub-080,1024.0,80,6.182002584226385,9.582352815988482,8.0,9.25,,1.1859183072574044,0.29408735331412894,1.5500402475466801,,,
OpenNeuro,sub-080,1024.0,80,6.193409845858014,9.415667322205923,8.0,9.0,,1.0754946055294075,0.3103414321605966,1.5202719594768734,,,
OpenNeuro,sub-080,1024.0,80,6.619307985153004,9.654064646360892,8.0,9.5,,0.9048535245100366,0.32951571135261365,1.4584703821026,,,
OpenNeuro,sub-080,1024.0,80,6.765845839236626,9.370914923691407,8.0,9.0,,0.7640897479519143,0.3838669791781324,1.3850322851501307,,,
OpenNeuro,sub-040,1024.0,73,6.76307834060942,9.876203236343102,8.0,9.75,,0.9090986544646991,0.32122064918449933,1.4603118194034048,,,
OpenNeuro,sub-040,1024.0,73,6.696660799594775,9.976004336911606,8.0,9.75,,0.9831365629813287,0.30493907961170885,1.4896983191257454,,,
OpenNeuro,sub-040,1024.0,73,6.374845802034967,10.126113184435694,8.0,10.0,,1.37310640472043,0.2665765721450713,1.5884483325390009,,,
OpenNeuro,sub-040,1024.0,73,6.651973262424916,9.757867412686519,8.0,10.0,,0.9246734493983323,0.32196847401118683,1.4669132042075252,,,
OpenNeuro,sub-043,1024.0,80,5.9536547377172075,10.352328556120977,5.5,10.0,,0.492189130993148,0.22734124904103234,1.738819097207229,,,
OpenNeuro,sub-043,1024.0,80,6.008177233322023,10.99043338093951,4.0,10.25,,-0.13926278382135887,0.20071228181999423,1.8292458684449815,,,
OpenNeuro,sub-043,1024.0,80,5.8142838841539275,10.292935941261266,5.75,8.0,,0.26780835937334657,0.2232814666665304,1.7702843800443457,,,
OpenNeuro,sub-043,1024.0,80,5.883527262488271,10.441447204629641,5.75,10.0,,0.23702981449504365,0.2193983248266943,1.774691734871596,,,
OpenNeuro,sub-041,1024.0,80,5.78952481040859,10.37357288531041,4.0,10.75,,0.11859155635753947,0.21814779942538406,1.7917831298797569,,,
OpenNeuro,sub-041,1024.0,80,6.066339575512697,10.452084412540156,8.0,10.75,,0.6096725735805714,0.22801144096603973,1.7229639525507106,,,
OpenNeuro,sub-041,1024.0,80,5.9276557437454676,10.334283189136057,5.5,10.5,,0.4588789828308201,0.2269309153979009,1.7434013775243642,,,
OpenNeuro,sub-041,1024.0,80,5.802873656030648,10.388813789842478,4.0,11.0,,0.12890890418814072,0.21805779639971026,1.79028777906372,,,
OpenNeuro,sub-028,1024.0,80,6.491725318082033,9.580674051915883,8.0,9.75,,0.9466389475315528,0.3237347350724237,1.4758286252854693,,,
OpenNeuro,sub-028,1024.0,80,6.164734032137452,9.679381010118163,8.0,9.75,,1.2760265079696398,0.28452359689749984,1.5701214293525823,,,
OpenNeuro,sub-028,1024.0,80,6.6757778354067785,9.50381931975091,8.0,9.5,,0.8317820373233882,0.35360160221691944,1.423627261731937,,,
OpenNeuro,sub-028,1024.0,80,6.038826455794257,9.772501363818082,8.0,9.75,,1.5697572468769485,0.26783263798649365,1.618278225969114,,,
OpenNeuro,sub-017,1024.0,73,5.98668453475761,10.766900600825638,4.0,10.25,,0.0724917145589307,0.20919556484034646,1.7984746880038451,,,
OpenNeuro,sub-017,1024.0,73,5.887567745002022,10.977994400730347,4.0,11.5,,-0.3868301958749882,0.19644718756033672,1.8646060438199812,,,
OpenNeuro,sub-017,1024.0,73,5.954653094529925,10.845805509581577,4.0,12.25,,-0.08516335600191388,0.20445079505653466,1.8214000609951186,,,
OpenNeuro,sub-089,1024.0,80,6.019834484858075,9.89283544283491,8.0,8.75,,1.2928414440601323,0.258197715634539,1.643373329901137,,,
OpenNeuro,sub-089,1024.0,80,6.514338637331189,9.627823309037762,8.0,9.0,,0.9520145427208657,0.32118353081593204,1.4779433254919203,,,
