subject,theta_centroid,alpha_centroid,theta_peak,alpha_peak,PCI,convergence,theta_frontal,dataset
sub-010041,5.8878396985078405,10.136880131321355,4.5166015625,9.3994140625,0.619480012319208,0.23534725447125177,5.221988329763113,LEMON
sub-010042,6.132625733352752,10.328365545685042,7.080078125,9.8876953125,0.9174955289611088,0.23833699054949956,5.543399286996712,LEMON
sub-010045,6.375541369498443,10.26981616727629,7.9345703125,10.1318359375,1.5178655515429118,0.25678722019581685,5.7728344240720375,LEMON
sub-010046,5.89491159030641,9.904443898443184,4.150390625,8.1787109375,0.9514284584340978,0.24940564713012608,5.314357609437982,LEMON
sub-010047,6.0757215421204895,9.6505317582838,7.9345703125,9.6435546875,1.3726911663961194,0.279735129847888,5.815341990439481,LEMON
sub-010048,6.027062693233548,10.039968875316246,7.9345703125,9.033203125,1.0777431224120315,0.24919595789827312,5.27647972012801,LEMON
sub-010049,5.792929633815311,9.981074247395686,4.0283203125,8.7890625,0.6095876601421899,0.2387692145962259,5.350288344218658,LEMON
sub-010050,5.653520972416885,10.044639412484615,4.0283203125,9.521484375,0.2230077019271425,0.2277324134269026,5.298109637962179,LEMON
sub-010051,5.552616370116718,10.378006702822464,4.0283203125,9.6435546875,-0.4184871616680064,0.20723712094794805,5.341347472016916,LEMON
sub-010052,5.688310021659784,10.279596826497354,5.37109375,8.1787109375,0.012871968691988823,0.2178038625133064,5.549643341138163,LEMON
sub-010053,5.732335159302099,10.140305406951551,4.0283203125,9.521484375,0.27703982469261335,0.22686178531564485,5.637472275787057,LEMON
sub-010056,5.803175933583482,10.228832893323686,4.0283203125,8.4228515625,0.3215955959348692,0.22595515402502012,5.38128422538825,LEMON
sub-010059,6.072853905360661,10.180587906865654,7.9345703125,9.8876953125,0.9838013510215974,0.24344322189158787,5.609172677349328,LEMON
sub-010060,6.403350124093603,9.223253414944338,7.9345703125,9.3994140625,0.8652868626330215,0.35462209049669585,6.505977615962343,LEMON
sub-010061,6.070671127147902,10.423413655976445,7.9345703125,10.986328125,0.6548113000812902,0.22974021398622235,5.632775072695504,LEMON
sub-010062,6.099828871867923,10.079396775947956,7.2021484375,10.25390625,1.2032698203019352,0.25128356246283795,5.7364378860450245,LEMON
sub-010063,6.293313281355736,9.648703266524276,7.9345703125,9.6435546875,1.1204298309722722,0.2980279503784031,5.439563719027346,LEMON
sub-010064,6.116462040312868,9.865504643452772,7.568359375,9.27734375,1.5335545310024141,0.2667347656072189,5.625315059161664,LEMON
sub-010065,6.948223060997406,8.998339435370927,7.9345703125,8.056640625,0.6434527790349714,0.48777718791967717,6.111239145063274,LEMON
sub-010066,6.614915703344413,9.351543236584885,7.9345703125,8.9111328125,0.8131992708743538,0.3654132642654109,5.515851598143372,LEMON
sub-010067,5.966166334215042,10.004678444097658,5.9814453125,9.6435546875,0.9795269897695678,0.24761594686144595,5.9681619577264176,LEMON
sub-010068,6.0103226792258,9.963806433640062,7.9345703125,9.6435546875,1.1519595373836413,0.25294147190650523,5.525561693267554,LEMON
sub-010069,6.198597572790922,9.346691865088395,6.9580078125,9.033203125,1.035844238039488,0.3176524929531897,6.202611639528996,LEMON
sub-010070,5.775540482437836,10.050330926958251,4.0283203125,8.056640625,0.4824570566767155,0.2339295956090285,5.301816672310307,LEMON
sub-010071,6.481230846651621,9.238848925358456,7.9345703125,8.544921875,0.8353472768232679,0.3626317972461737,5.549337095749277,LEMON
sub-010072,5.7911746783841975,10.285522422843906,4.2724609375,10.25390625,0.2274393796286768,0.22250169698878425,6.207194071997138,LEMON
sub-010073,5.953266611312701,10.104092320297898,4.2724609375,10.1318359375,0.809845369649188,0.24091592133953565,5.669462974431731,LEMON
sub-010074,5.887626555907967,10.05860249324042,4.5166015625,10.25390625,0.721052011675407,0.23975204245353424,5.9431331972946735,LEMON
sub-010075,5.924110639503958,10.32803797547476,4.0283203125,10.009765625,0.45895803933808366,0.22707004991479038,5.451572209411631,LEMON
sub-010076,5.665043922310692,11.091156234039024,4.2724609375,11.5966796875,-1.1292271477957811,0.1842940106194519,5.1987386269471445,LEMON
